Month,LTOTL
4/18/34,7525.854
4/25/34,7493.637
5/2/34,7601.883
5/9/34,7548.294
5/16/34,7642.594
5/23/34,7613.577
5/30/34,7585.728
6/6/34,7680.584
6/13/34,7832.91
6/20/34,7791.601
6/27/34,7761.825
7/3/34,7779.812
7/11/34,7776.302
7/18/34,7842.1
7/25/34,7812.76
8/1/34,7870.74
8/8/34,7827.447
8/15/34,7957.811
8/22/34,7900.292
8/29/34,7925.389
9/5/34,7926.113
9/12/34,7959.724
9/19/34,7982.831
9/26/34,7933.964
10/3/34,7947.831
10/10/34,7889.599
10/17/34,8062.774
10/24/34,7947.721
10/31/34,7920.456
11/7/34,7907.103
11/14/34,8164.271
11/21/34,8087.983
11/28/34,8029.666
12/5/34,8072.875
12/12/34,8138.771
12/19/34,8178.007
12/26/34,8073.447
1/2/35,8087.928
1/9/35,8143.035
1/16/35,8304.505
1/23/35,8279.292
1/30/35,8304.714
2/6/35,8387.926
2/13/35,8385.525
2/20/35,8507.925
2/27/35,8535.158
3/6/35,8515.936
3/13/35,8567.502
3/20/35,8580.451
3/27/35,8516.769
4/3/35,8553.927
4/10/35,8517.535
4/17/35,8715.251
4/24/35,8725.087
5/1/35,8793.617
5/8/35,8704.519
5/15/35,8866.92
5/22/35,8792.148
5/29/35,8806.844
6/5/35,8895.973
6/12/35,9043.699
6/19/35,9175.072
6/26/35,9094.408
7/3/35,9234.391
7/10/35,9206.798
7/17/35,9287.459
7/24/35,9214.752
7/31/35,9211.723
8/7/35,9233.212
8/14/35,9394.826
8/21/35,9410.088
8/28/35,9420.021
9/4/35,9448.933
9/11/35,9540.246
9/18/35,9667.774
9/25/35,9562.076
10/2/35,9665.286
10/9/35,9692.447
10/16/35,10166.112
10/23/35,10033.179
10/30/35,10051.9
11/6/35,10042.393
11/13/35,10336.706
11/20/35,10282.547
11/27/35,10301.308
12/4/35,10453.804
12/11/35,10587.853
12/18/35,10716.86
12/24/35,10651.133
12/31/35,10690.412
1/8/36,10626.619
1/15/36,10817.904
1/22/36,10758.121
1/29/36,10730.226
2/5/36,10737.472
2/12/36,10822.915
2/19/36,10830.382
2/26/36,10822.85
3/4/36,10790.937
3/11/36,10779.782
3/18/36,10900.773
3/25/36,10800.349
4/1/36,10827.552
4/8/36,10753.862
4/15/36,10958.364
4/22/36,10826.563
4/29/36,10818.949
5/6/36,10798.273
5/13/36,10906.403
5/20/36,10904.773
5/27/36,10907.078
6/3/36,11001.399
6/10/36,11025.829
6/17/36,11167.124
6/24/36,11029.915
7/1/36,11305.417
7/8/36,11227.164
7/15/36,11415.524
7/22/36,11333.503
7/29/36,11301.502
8/5/36,11306.048
8/12/36,11376.51
8/19/36,11385.496
8/26/36,11348.614
9/2/36,11411.506
9/9/36,11440.173
9/16/36,11687.997
9/23/36,11489.021
9/30/36,11525.212
10/7/36,11624.81
10/14/36,11931.633
10/21/36,11769.876
10/28/36,11728.237
11/4/36,11711.594
11/11/36,11797.854
11/18/36,11965.632
11/25/36,11887.553
12/2/36,11964.358
12/9/36,11899.401
12/16/36,12237.856
12/23/36,12053.454
12/30/36,12117.125
1/6/37,12041.436
1/13/37,12076.124
1/20/37,12077.945
1/27/37,11976.796
2/3/37,11964.291
2/10/37,11929.16
2/17/37,12122.447
2/24/37,12043.608
3/3/37,12013.754
3/10/37,11922.472
3/17/37,12153.972
3/24/37,11975.976
3/31/37,11997.742
4/7/37,11991.576
4/14/37,12208.936
4/21/37,12122.36
4/28/37,12103.476
5/5/37,12089.713
5/12/37,12147.424
5/19/37,12182.339
5/26/37,12094.614
6/2/37,12111.89
6/9/37,12094.72
6/16/37,12361.415
6/23/37,12134.369
6/30/37,12154.929
7/7/37,12094.581
7/14/37,12253.031
7/21/37,12148.14
7/28/37,12097.908
8/4/37,12097.846
8/11/37,12072.907
8/18/37,12130.26
8/25/37,12072.838
9/1/37,12110.875
9/8/37,12027.757
9/15/37,12637.773
9/22/37,12482.875
9/29/37,12433.695
10/6/37,12414.641
10/13/37,12432.497
10/20/37,12492.794
10/27/37,12418.559
11/3/37,12368.671
11/10/37,12429.79
11/17/37,12560.973
11/24/37,12416.119
12/1/37,12500.211
